category,term,definition,context,frequency,trend,trend_label,featured,full_name,formula,current_value,current_value_period,current_value_color,chart_label,chart_type,chart_data,stat1_label,stat1_value,stat1_sub,stat1_color,stat2_label,stat2_value,stat2_sub,stat2_color,insight,source,back_source_label,back_title
Macro Indicators,GDP,"GDP is the total dollar value of everything a country produces — every good made, every service sold — within a given period. Think of it as the economy's annual report card.","When GDP grows, the economy is expanding — more jobs, rising incomes, stronger corporate profits. When it shrinks for two quarters in a row, that's the textbook definition of a recession.",Quarterly,down,↓ Slowing,true,Gross Domestic Product,GDP = Consumer Spending + Business Investment + Government Spending + (Exports − Imports),1.4%,Q4 2025 (Annualized),red,GDP Growth Rate — Quarterly,bar,"[{""label"":""Q1 '25"",""value"":2.4},{""label"":""Q2 '25"",""value"":3.8},{""label"":""Q3 '25"",""value"":4.4},{""label"":""Q4 '25"",""value"":1.4}]",Full Year 2025,2.2%,↓ from 2.8% in 2024,red,2026 Forecast,2.5%,Goldman Sachs est.,green,Q4 2025 stumbled to 1.4% — dragged by the federal government shutdown and tariff headwinds. The slowdown is expected to be temporary; economists project a bounce-back in early 2026 as those one-off drags fade and consumer spending stays resilient.,U.S. Bureau of Economic Analysis · Feb 2026,Latest Data · BEA,GDP — Current Trend
Inflation,CPI,"Prices go up over time — that's inflation. CPI measures exactly how much. It tracks a basket of everyday items — groceries, rent, gas, clothing — and shows how much more (or less) they cost compared to a year ago. When CPI climbs fast, your money buys less than it used to.","The Fed watches CPI closely alongside PCE. When CPI runs persistently above 2%, the Fed considers raising rates to cool demand. When it falls sharply, it may signal a weakening economy.",Monthly,up,↑ Elevated,,Consumer Price Index,"Tracks price changes across 8 categories: Food & Beverage, Housing, Apparel, Transportation, Medical Care, Recreation, Education, and Other.",3.1%,YoY · Feb 2026,red,CPI YoY — Monthly,bar,"[{""label"":""Nov '25"",""value"":2.7},{""label"":""Dec '25"",""value"":2.9},{""label"":""Jan '26"",""value"":3.0},{""label"":""Feb '26"",""value"":3.1}]",Core CPI,3.4%,Excl. food & energy,red,Fed Target,2.0%,Still above target,gray,"Shelter costs keep headline CPI sticky above target — rent and equivalent homeowner costs make up ~35% of the index and are slow to fall. The Fed is watching core CPI closely; until it drops toward 2.5%, rate cuts remain on hold.",U.S. Bureau of Labor Statistics · Feb 2026,Latest Data · BLS,CPI — Current Trend
Central Banks,Fed Funds Rate,"The single most powerful interest rate in the world. It's what banks charge each other for overnight loans — and it ripples through everything else: your mortgage rate, your car loan, your credit card APR. When the Fed raises it, borrowing gets more expensive across the board.","The FOMC (Federal Open Market Committee) meets 8 times per year to review the rate. Every quarter-point move ripples through mortgages, car loans, credit cards, and bond yields within days.",8× per year,flat,→ Hold,,Federal Funds Rate,When FFR rises → borrowing costs increase → spending slows → inflation cools. When FFR falls → cheaper credit → spending rises → economy stimulated.,4.25–4.50%,Held · Dec 2025,gray,Rate Path — Last 4 FOMC Decisions,timeline,"[{""rate"":""5.25–5.50%"",""label"":""Jul 2025""},{""rate"":""5.00–5.25%"",""label"":""Sep 2025""},{""rate"":""4.75–5.00%"",""label"":""Nov 2025""},{""rate"":""4.25–4.50%"",""label"":""Dec 2025""}]",Last Cut,Dec 18 · 2025,−25 bps,blue,Next FOMC,Mar 19 · 2026,Hold expected,blue,"The Fed is in wait-and-see mode after three cuts in late 2025. Markets have 1–2 more cuts priced in for 2026, but only if inflation cooperates. Higher rates mean bond yields stay elevated — a challenge for growth stocks but an opportunity for fixed-income investors.",Federal Reserve · Dec 2025 FOMC,Latest Decision · FOMC,Fed Funds Rate — Current
Employment,Non-Farm Payrolls,"Every first Friday of the month, the government reveals how many jobs were added or lost — excluding farm workers. It's the most market-moving number of the month. A big miss can send stocks down hundreds of points within minutes of the release.",Markets treat NFP as the most market-moving data release of the month. A strong print can delay rate cuts; a weak one can accelerate them. It's the first hard look at the prior month's economic activity.,Monthly,up,↑ Strong,,Non-Farm Payrolls,NFP > 150K/month → healthy labor market. NFP < 75K/month → potential slowdown. NFP negative → jobs being cut.,+150K,Feb 2026,red,Monthly Job Additions (thousands),bar,"[{""label"":""Nov '25"",""value"":227,""displayValue"":""227K""},{""label"":""Dec '25"",""value"":256,""displayValue"":""256K""},{""label"":""Jan '26"",""value"":143,""displayValue"":""143K""},{""label"":""Feb '26"",""value"":150,""displayValue"":""150K""}]",Unemployment Rate,4.1%,Historically low,blue,Avg Hourly Earnings,+4.0%,YoY · above inflation,red,"Payrolls are cooling from 2025's strong pace but still positive — a soft landing signal. Wage growth above 4% keeps consumer spending firm, which supports corporate earnings but also keeps the Fed cautious about cutting rates too fast.",U.S. Bureau of Labor Statistics · Feb 2026,Latest Data · BLS,Non-Farm Payrolls — Current
Inflation,PCE,"Similar to CPI, but the Fed trusts it more. PCE measures what Americans actually spend on goods and services — and it adjusts when people swap expensive items for cheaper ones. That makes it a more honest picture of real-world inflation. When PCE runs hot, rate cuts get pushed back.","When Fed officials say 'inflation is near our target,' they're talking about PCE, not CPI. Core PCE (excluding food and energy) is the number that drives rate decisions.",Monthly,up,↑ Above Target,,Personal Consumption Expenditures,"PCE differs from CPI: it adjusts for substitution behavior — when prices rise, consumers switch to cheaper alternatives — making it a more realistic measure of actual purchasing patterns.",2.8%,Core YoY · Jan 2026,red,Core PCE YoY — Monthly,bar,"[{""label"":""Oct '25"",""value"":2.4},{""label"":""Nov '25"",""value"":2.6},{""label"":""Dec '25"",""value"":2.7},{""label"":""Jan '26"",""value"":2.8}]",Headline PCE,2.5%,Incl. food & energy,red,Fed Target,2.0%,Still above target,gray,"Core PCE above target keeps the Fed cautious, but the pace of rise matters most — it's ticking up slowly, not surging. If it stalls or reverses in coming months, the door opens for mid-2026 rate cuts, which would benefit bond holders and rate-sensitive sectors like real estate.",U.S. Bureau of Economic Analysis · Jan 2026,Latest Data · BEA,Core PCE — Current Trend
Markets,Yield Curve,"A snapshot of how much interest the government pays to borrow money at different time horizons — 2 years, 10 years, 30 years. Normally, longer loans pay higher rates. When that flips — short-term rates above long-term ones — it's called an inversion, and every U.S. recession in the past 50 years was preceded by one.",Every U.S. recession since 1955 was preceded by a yield curve inversion. The curve inverted in mid-2022 and remained inverted for over two years — one of the longest inversions on record.,Real-time,flat,→ Normalizing,,U.S. Treasury Yield Curve (10Y–2Y),Normal: 10Y yield > 2Y yield → growth expected. Inverted: 10Y yield < 2Y yield → recession signal. Uninverting: spread returning to positive → mixed signal.,+0.18%,Mar 2026,green,10Y–2Y Spread — Monthly,bar_sign,"[{""label"":""Nov '25"",""value"":-0.15,""displayValue"":""-0.15%""},{""label"":""Dec '25"",""value"":-0.05,""displayValue"":""-0.05%""},{""label"":""Jan '26"",""value"":0.10,""displayValue"":""+0.10%""},{""label"":""Feb '26"",""value"":0.18,""displayValue"":""+0.18%""}]",10Y Treasury,4.06%,Benchmark yield,blue,2Y Treasury,3.88%,Policy-sensitive,blue,The curve is finally uninverting after a record inversion — historically a mixed signal. A sustained positive spread with improving growth data points to recovery; a quick re-inversion would be a warning sign.,U.S. Treasury / FRED · Mar 2026,Latest Data · U.S. Treasury,10Y–2Y Spread — Current
Macro Indicators,PMI,"PMI surveys purchasing managers at hundreds of companies, asking whether activity — new orders, production, employment, deliveries — is expanding, contracting, or unchanged versus the prior month.","PMI is released on the first business day of each month — making it one of the earliest reads on economic momentum. Because it's a survey, it reflects expectations and intentions, not just lagging results.",Published: Monthly (1st business day),down,↓ Contracting,,Purchasing Managers' Index,Above 50 → sector is expandingBelow 50 → sector is contractingTwo separate indexes: Manufacturing PMI and Services PMI,49.0,Feb 2026 · Below 50,red,ISM Manufacturing PMI — Monthly (50 = breakeven),bar,"[{""label"":""Nov '25"",""value"":48.4,""displayValue"":""48.4""},{""label"":""Dec '25"",""value"":49.3,""displayValue"":""49.3""},{""label"":""Jan '26"",""value"":50.9,""displayValue"":""50.9""},{""label"":""Feb '26"",""value"":49.0,""displayValue"":""49.0""}]",Services PMI,53.5,Expanding · Feb 2026,green,Expansion Line,50.0,Above = growth,gray,"Manufacturing dipped back below 50 — a contraction signal — but services at 53.5 are keeping the broader economy afloat. Since services dominate the U.S. economy (~80% of GDP), a strong services PMI matters more for overall growth than a weak factory reading.",Institute for Supply Management,Latest Data · ISM,Manufacturing PMI — Current
Inflation,PPI,"PPI measures the average change in prices that domestic producers receive for their output — raw materials, intermediate goods, and finished products. It's CPI's upstream cousin: what businesses pay before consumers do.","PPI is considered a leading indicator for consumer inflation. When input costs rise for producers, those costs typically get passed downstream to consumers within 1–3 months.",Published: Monthly,up,↑ Rising,,Producer Price Index,PPI rising → production costs climbing → CPI likely to followPPI falling → deflationary pressure building upstream,3.5%,YoY · Jan 2026,red,PPI Final Demand YoY — Monthly,bar,"[{""label"":""Oct '25"",""value"":2.4},{""label"":""Nov '25"",""value"":2.6},{""label"":""Dec '25"",""value"":3.0},{""label"":""Jan '26"",""value"":3.5}]",Core PPI,3.6%,"Excl. food, energy & trade",red,vs CPI Gap,+0.4%,PPI above CPI → pressure,red,"PPI running above CPI signals that producers are absorbing some cost increases rather than fully passing them on — that margin compression often shows up in earnings misses. If producers start passing costs through, CPI could re-accelerate in coming months.",U.S. Bureau of Labor Statistics,Latest Data · BLS,PPI — Current Trend
Markets,VIX,"The VIX measures the market's expectation of S&P 500 volatility over the next 30 days, derived from the prices of S&P 500 options. It is widely called the ""fear gauge"" of Wall Street.","VIX and the S&P 500 tend to move inversely — when stocks fall, VIX spikes. Savvy investors watch VIX for timing: extreme VIX spikes often mark capitulation lows, while extremely low VIX can signal complacency.",Updated: Continuously (market hours),up,↑ Elevated,,CBOE Volatility Index,"VIX < 15 → calm, complacent marketVIX 15–25 → moderate uncertaintyVIX > 30 → elevated fear / market stressVIX > 40 → crisis-level panic (seen in 2008, 2020)",22.3,Mar 2026 · Elevated,red,VIX Month-End Close — Recent,bar,"[{""label"":""Nov '25"",""value"":13.5,""displayValue"":""13.5""},{""label"":""Dec '25"",""value"":15.2,""displayValue"":""15.2""},{""label"":""Jan '26"",""value"":18.7,""displayValue"":""18.7""},{""label"":""Feb '26"",""value"":22.3,""displayValue"":""22.3""}]",Historical Average,~19,Long-run mean,gray,Fear Threshold,20+,Currently above,red,"VIX above 20 signals elevated market anxiety — not panic, but meaningful near-term uncertainty. For long-term ETF holders, elevated VIX can be an opportunity to add to positions at better prices, as vol spikes often overshoot and revert. Avoid reactionary selling.",CBOE,Latest Data · CBOE,VIX — Current Level
Trade & FX,DXY,"DXY measures the value of the U.S. dollar against a basket of six major currencies — primarily the Euro (57.6%), Japanese Yen (13.6%), British Pound (11.9%), and three others. A higher DXY means a stronger dollar.","DXY is the global benchmark for dollar strength. It influences commodities (most priced in USD), emerging markets (dollar-denominated debt becomes harder to service), and multinational corporate earnings.",Updated: Continuously (forex hours),down,↓ Weakening,,U.S. Dollar Index,Strong dollar → U.S. imports cheaper · exports more expensive · foreign earnings worth less in USDWeak dollar → exports competitive · international ETFs get a currency boost,98.8,Mar 2026 · Multi-month low,green,DXY Month-End Close — Recent,bar,"[{""label"":""Nov '25"",""value"":104.2,""displayValue"":""104.2""},{""label"":""Dec '25"",""value"":102.1,""displayValue"":""102.1""},{""label"":""Jan '26"",""value"":101.3,""displayValue"":""101.3""},{""label"":""Feb '26"",""value"":98.8,""displayValue"":""98.8""}]",EUR/USD,1.073,Euro strengthening,green,52-Week Range,98.5–108,Near range low,gray,"A weakening dollar is a tailwind for international ETFs (EFA, VEA, EEM) — foreign gains translate into more USD when you convert back. It also boosts commodity prices and eases pressure on emerging-market dollar-denominated debt. Watch for dollar stabilization if the Fed pauses cuts.",ICE / FRED,Latest Data · ICE / FRED,U.S. Dollar Index — Current
